안녕하세요! 제공해주신 VOC(고객의 소리) 정보를 분석해 드리겠습니다.

---

### **파일 분석: VOC 정보 조회 요약**

제공된 데이터는 주로 **사전 리텐션(Retention) 방문 활동 타겟 알림을 위한 VOC** 생성 기록입니다. 즉, 고객 이탈을 방지하기 위해 미리 관리하고 방문 활동을 계획하기 위한 목적으로 생성된 VOC 데이터로 보입니다.

**총 VOC 건수: 100건**

---

### **주요 분석 항목별 요약**

1.  **VOC 유형 (VOC유형대, VOC유형중, VOC유형소, VOC유형)**
    *   모든 VOC는 **`리텐션` > `관리고객` > `해지고위험` > `방문활동`**으로 분류되어 있습니다.
    *   이는 고객 이탈 방지를 위한 **선제적 관리 활동**의 일환으로 VOC가 생성되었음을 명확히 보여줍니다.

2.  **VOC 처리 상태 (상태)**
    *   **처리완료:** 74건 (74%)
    *   **접수:** 26건 (26%)
    *   대부분의 VOC가 `처리완료` 상태이며, 일부는 아직 `접수` 상태로 남아있습니다. `처리완료` 건의 경우, 접수일시와 처리완료일시가 매우 근접한 경우가 많아, 알림 생성 후 빠른 시간 내에 내부적으로 처리되었을 가능성이 높습니다.

3.  **접수 및 처리 일시 (접수일시, 처리완료일시)**
    *   대부분의 VOC는 **`2025-11-28 15:20:35.0`** 또는 **`2025-11-28 15:19:08.0`**에 일괄적으로 `접수`되었습니다. 이는 개별 고객의 VOC 발생 시점이 아니라, **일정 기준에 따라 대량으로 VOC를 생성**하여 관리 시스템에 등록했음을 시사합니다.
    *   `처리완료`된 건들은 대부분 `접수일시`와 동일하거나 매우 가까운 시각에 `처리완료` 상태가 되었습니다. (예: `2025-11-28 15:20:35.0` 접수 후 `2025-11-28 15:22:27.0` 처리완료)

4.  **고객 서비스 및 회선 방식 (서비스대, 서비스중, 서비스소, 회선방식대, 회선방식중)**
    *   **서비스대:** 모든 VOC가 `기본서비스`와 관련되어 있습니다.
    *   **서비스중:**
        *   `텔레캅아이`: 80건 (주요 서비스)
        *   `GiGAeyes Basic`: 20건
    *   **서비스소:** `GiGAeyes guard+`, `ktt OCT 가드`, `ktt GiGAeyes view+` 등 다양한 보안/영상 서비스가 혼재되어 있습니다. 이는 `텔레캅아이` 서비스 아래 여러 하위 서비스들이 있음을 보여줍니다.
    *   **회선방식대:** `무선회선` (46건), `초고속인터넷` (54건), `무회선` (12건) 등 다양하게 분포되어 있습니다.
    *   **회선방식중:** `LTE Single KT`, `WCDMA`, `TCP-IP(All-IoT)`, `메인`, `로컬운영`, `LTE-M`, `NB-IOT`, `MVNO`, `동일확장` 등 매우 다양한 회선 방식이 사용되고 있습니다.

5.  **월정료 (VAT미포함)**
    *   최소 월정료: 25,000원
    *   최대 월정료: 870,000원
    *   평균 월정료: 약 149,000원 (VAT 미포함)
    *   다양한 월정료를 가진 고객들이 리텐션 대상에 포함되어 있으며, 고액 고객부터 중소액 고객까지 폭넓게 관리하고 있음을 알 수 있습니다.

6.  **담당 조직 및 인력 (본사, 팀, 관리본부, 관리지사, 담당자)**
    *   **본사:** 모든 VOC가 `영업채널본부` 소속입니다.
    *   **팀:** 모든 VOC가 `리텐션팀` 소속입니다.
    *   **관리본부:** `강북/강원본부` (86건)가 압도적으로 많고, `강원본부` (14건)도 일부 있습니다.
    *   **관리지사:** `중앙지사` (26건), `서대문지사` (14건), `고양지사` (14건), `의정부지사` (13건), `남양주지사` (13건), `강북지사` (11건), `강릉지사` (6건), `원주지사` (3건) 순으로 분포되어 있습니다.
    *   **담당자:** `송민철`, `정양진`, `문성진`, `김병조`, `김현돈`, `유범식`, `강민수`, `차현갑`, `안근영`, `조형근`, `김의겸`, `최용호`, `남기민`, `정민석`, `김진회`, `홍종철`, `이현배`, `김태규`, `김윤정`, `김민수`, `박민준`, `권대호`, `안수호`, `정성록`, `황상대`, `성진수`, `성형래`, `김광호`, `권태경`, `경규원`, `김완용`, `안상현`, `신명우`, `양현성` 등 매우 다양한 담당자들이 배정되어 있습니다.

7.  **지역 분포 (시, 군구, 읍면동)**
    *   **시:** `서울` (48건), `경기` (38건), `강원` (12건), `충북` (2건) 순으로 분포되어 있습니다. 수도권 고객이 대부분을 차지합니다.
    *   **군구 (상위 5개):**
        *   `종로구`: 10건
        *   `중구`: 10건
        *   `고양시`: 10건
        *   `남양주시`: 10건
        *   `포천시`: 8건
    *   주로 서울의 중심부 및 경기 북부/동부 지역에 VOC가 집중되어 있습니다.

---

### **주요 특징 및 시사점**

*   **선제적 고객 이탈 방지:** 이 데이터는 고객 이탈 징후가 있는 고위험 고객을 대상으로 영업 채널 본부 리텐션팀에서 선제적으로 방문 활동을 계획하고 있음을 보여줍니다. 이는 고객 유지 전략의 중요한 부분입니다.
*   **대규모 배치 처리:** VOC가 특정 일시에 대량으로 생성된 점을 미루어 볼 때, 시스템에서 특정 기준(예: 계약 만료 임박, 서비스 이용 패턴 변화 등)에 따라 자동으로 타겟 고객을 추출하여 VOC를 생성하는 프로세스가 운영되고 있을 가능성이 높습니다.
*   **다양한 서비스 및 회선 관리:** `텔레캅아이`와 `GiGAeyes Basic`이 주를 이루며, 무선 및 초고속 인터넷 회선을 모두 활용하는 다양한 서비스에 대한 리텐션 활동이 이루어지고 있습니다.
*   **수도권 집중:** 대부분의 VOC가 서울 및 경기 지역에 집중되어 있으며, 특히 서울의 중심지와 경기 북동부 지역에서 활발한 관리가 이루어지고 있습니다.
*   **빠른 내부 처리:** `처리완료` 상태의 VOC들이 대부분 접수 직후 빠르게 처리된 것으로 보아, 단순 알림 VOC 생성 및 내부 담당자 배정 후 시스템상으로 빠르게 처리 상태가 되는 흐름일 수 있습니다. '서비스>>기타'와 같은 처리유형과 '완료(해지징후 없음)', '상담완료, 타사 견적 비교중' 같은 처리 내용이 있는 경우도 있어, 실제 고객 접촉 여부는 '담당상세'와 '처리내용'을 통해 더 면밀히 파악할 수 있습니다.

---

